what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344779440783
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344779457456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344779497138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344779622589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344779627376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344779656676
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344779657878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344779662563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344779664020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344779664581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344779684362
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344779685790
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344779688270
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1344779688320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344779691417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780553598
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344780557958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344780558084
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1344780558213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780587030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780590974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780592007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780605006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780606883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780611379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780613515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780937279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780944105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780945920
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1344780948999
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344780954311
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344780954469
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1344780954619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344780978550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344781364256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344781376012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344781378999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344781379674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344781387165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344781390844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344781398310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1344781398342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344781401173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344785917054
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344785918440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344785950002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1344785950029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786000540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786001355
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1344786003738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786003907
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1344786003956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786004258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786005802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786015410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786015529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786015533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786028615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786029380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786029852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786031523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786092490
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344786092669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786094916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786377669
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344786379749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344786381746
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1344786381908
no handler,command,org.eclipse.jdt.debug.ui,,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1344786385398
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1344786396823
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1344786397132
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1344786397424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786400543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786402152
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1344786404518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786406609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786408973
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344786415904
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344786420406
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344786422882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786425782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1344786425815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786431984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344786449623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344786451231
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344786452328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344786455658
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1344786458346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786459237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344786461163
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344786464477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344786466202
